ID; X; Y; Z
1;0.1470877;1.161326;-0.2454538
2;0.1470011;1.161295;-0.2454924
3;0.1468569;1.161269;-0.2455554
4;0.14697;1.161325;-0.2456538
5;0.1470666;1.161364;-0.2457265
6;0.1469858;1.161305;-0.2456671
7;0.1468978;1.16126;-0.2456057
8;0.1467338;1.161206;-0.2454495
9;0.1466533;1.161201;-0.2453478
10;0.1468182;1.161195;-0.2449174
11;0.1469604;1.161183;-0.2446704
12;0.1469889;1.161137;-0.2444938
13;0.1469951;1.161069;-0.2444095
14;0.1470443;1.160866;-0.2442696
15;0.1470701;1.160755;-0.2442037
16;0.1472208;1.160642;-0.2442529
17;0.1475091;1.160364;-0.2443719
18;0.1475782;1.160166;-0.2443599
19;0.1478042;1.159693;-0.2443148
20;0.1479434;1.159413;-0.2442749
21;0.1484835;1.158627;-0.2443744
22;0.1488813;1.158351;-0.2442084
23;0.1495772;1.157629;-0.2440873
24;0.1498194;1.157274;-0.2440944
25;0.1500589;1.156778;-0.244039
26;0.1507731;1.155516;-0.2442981
27;0.151378;1.154252;-0.2442782
28;0.1530975;1.152973;-0.2448914
29;0.153856;1.152563;-0.2455286
30;0.154978;1.151607;-0.2460635
31;0.1556144;1.151187;-0.2463339
32;0.1560989;1.150585;-0.2465399
33;0.1572125;1.150089;-0.2469961
34;0.1576947;1.149921;-0.2470721
35;0.1585223;1.149776;-0.2471261
36;0.1586853;1.14968;-0.2471551
37;0.1588327;1.149624;-0.2469907
38;0.1587209;1.149551;-0.2468356
39;0.1588576;1.149405;-0.2467786
40;0.1586003;1.149509;-0.2467004
41;0.1582149;1.149693;-0.2465607
42;0.1567243;1.150029;-0.2451475
43;0.1562026;1.149902;-0.244366
44;0.1552122;1.149986;-0.2427856
45;0.1547964;1.150176;-0.2418677
46;0.1541131;1.150651;-0.2398249
47;0.15375;1.150979;-0.2386226
48;0.1528525;1.151382;-0.2361949
49;0.1524285;1.151589;-0.2348582
50;0.1520213;1.151815;-0.2334213
51;0.1509475;1.15199;-0.2305798
52;0.1503962;1.152095;-0.2293205
53;0.1493421;1.152404;-0.2269196
54;0.1488149;1.152592;-0.2256479
55;0.1478292;1.152779;-0.2233624
56;0.1472338;1.152808;-0.2222877
57;0.1467038;1.152945;-0.2212178
58;0.145401;1.153221;-0.2189776
59;0.1447611;1.153294;-0.2177506
60;0.1433766;1.153333;-0.2159612
61;0.1425917;1.153397;-0.2151798
62;0.1411268;1.153723;-0.2137106
63;0.1403359;1.153873;-0.2130851
64;0.1388966;1.153965;-0.2122148
65;0.138108;1.153989;-0.2118935
66;0.1373831;1.153965;-0.2114046
67;0.1359136;1.153979;-0.2105236
68;0.1351741;1.154008;-0.2101208
69;0.1338295;1.153986;-0.2094129
70;0.1331726;1.153911;-0.2089448
71;0.1320976;1.154063;-0.2083098
72;0.1316782;1.154135;-0.2082002
73;0.1310633;1.154119;-0.2081103
74;0.1309198;1.15422;-0.2081921
75;0.1308898;1.154261;-0.2083396
76;0.1304017;1.154491;-0.2085637
77;0.1305549;1.154597;-0.2089875
78;0.1323109;1.154702;-0.2104338
79;0.1328713;1.154608;-0.2108491
80;0.1343897;1.154281;-0.2115817
81;0.1352091;1.15413;-0.2118831
82;0.1362036;1.153963;-0.2120174
83;0.1379726;1.153074;-0.2116435
84;0.1388488;1.152885;-0.2116048
85;0.1407672;1.152403;-0.2110595
86;0.1416728;1.152165;-0.2107098
87;0.1433837;1.151736;-0.2095797
88;0.1439178;1.151535;-0.2088696
89;0.144902;1.151055;-0.2067995
90;0.1455044;1.150901;-0.205628
91;0.1460259;1.150853;-0.2042676
92;0.1467628;1.150902;-0.2010813
93;0.1470303;1.150985;-0.1993072
94;0.1471427;1.151251;-0.1952356
95;0.1469644;1.151633;-0.1929856
96;0.1469783;1.152687;-0.1887568
97;0.1470454;1.153059;-0.1864798
98;0.1469917;1.154344;-0.1818931
99;0.1469262;1.15525;-0.1795645
100;0.1467256;1.156368;-0.1769643
101;0.146128;1.158573;-0.1718715
102;0.1459638;1.160049;-0.1695343
103;0.1455631;1.163363;-0.1648738
104;0.1453482;1.16533;-0.1625972
105;0.1448628;1.169501;-0.1584967
106;0.1445263;1.171536;-0.1561357
107;0.1441046;1.173865;-0.1538395
108;0.1433526;1.17926;-0.1499694
109;0.1429382;1.181745;-0.1481436
110;0.1419824;1.187185;-0.1445889
111;0.141485;1.190282;-0.1429327
112;0.1406491;1.195845;-0.1396025
113;0.1403185;1.198792;-0.1383259
114;0.1393851;1.204777;-0.1356914
115;0.1389734;1.208025;-0.1344194
116;0.1385296;1.211316;-0.1332255
117;0.1375766;1.217833;-0.1309014
118;0.1370174;1.221211;-0.1294359
119;0.1358687;1.228407;-0.1268343
120;0.1354782;1.232186;-0.1258692
121;0.1345905;1.239099;-0.12389
122;0.1340202;1.242514;-0.1228785
