ID; X; Y; Z
1;0.2985641;1.155382;-0.4497921
2;0.2985909;1.155391;-0.4496296
3;0.2986126;1.155369;-0.4493561
4;0.2985586;1.155415;-0.4493168
5;0.2985094;1.155479;-0.4492606
6;0.2984681;1.155536;-0.4490841
7;0.2984352;1.155573;-0.448931
8;0.2983046;1.155556;-0.4485568
9;0.2981946;1.155513;-0.4483486
10;0.2977303;1.155574;-0.4480484
11;0.2973891;1.155631;-0.4479224
12;0.2963104;1.1555;-0.4474126
13;0.2956764;1.155278;-0.4472044
14;0.2949114;1.155151;-0.4468548
15;0.2932769;1.154873;-0.4466195
16;0.2922648;1.154708;-0.4464129
17;0.2902393;1.154693;-0.446159
18;0.2891498;1.154589;-0.4459687
19;0.2879251;1.154428;-0.4457103
20;0.2867476;1.154309;-0.4454466
21;0.284326;1.15418;-0.4449914
22;0.2816887;1.154465;-0.4445009
23;0.2803492;1.154698;-0.4441771
24;0.2774083;1.154975;-0.4435712
25;0.2758254;1.154951;-0.4429851
26;0.2724023;1.154953;-0.4416477
27;0.2707947;1.15516;-0.4410968
28;0.267339;1.155719;-0.439979
29;0.2654418;1.156152;-0.4391789
30;0.263558;1.156172;-0.4385054
31;0.2595106;1.156441;-0.4364836
32;0.2574747;1.156821;-0.4356366
33;0.2532385;1.157727;-0.4343609
34;0.2512096;1.15817;-0.4336744
35;0.2469127;1.159985;-0.4318353
36;0.2446453;1.160397;-0.4311368
37;0.2421623;1.160781;-0.4304078
38;0.2364996;1.161519;-0.4288215
39;0.2335098;1.161804;-0.4284031
40;0.2273115;1.162467;-0.4267282
41;0.2239299;1.162431;-0.4258406
42;0.2170603;1.162323;-0.4243154
43;0.2135787;1.162525;-0.4237309
44;0.210002;1.162742;-0.4233752
45;0.2029285;1.162509;-0.4222672
46;0.1990816;1.162248;-0.4214606
47;0.1916345;1.161756;-0.4200144
48;0.1878361;1.161721;-0.4194362
49;0.1805598;1.161572;-0.4182746
50;0.1769246;1.161542;-0.4176423
51;0.1731977;1.161568;-0.417067
52;0.1659138;1.161801;-0.4159905
53;0.1622583;1.16183;-0.4154247
54;0.1553268;1.161765;-0.4141017
55;0.1519079;1.161706;-0.4136117
56;0.1454109;1.161902;-0.4124283
57;0.142436;1.161823;-0.412033
58;0.1365583;1.161369;-0.4106211
59;0.1335032;1.161364;-0.4098526
60;0.1308995;1.161414;-0.4091661
61;0.1262534;1.161374;-0.4075154
62;0.1241368;1.161261;-0.4066502
63;0.119713;1.161324;-0.4048946
64;0.1176333;1.161673;-0.4040622
65;0.1137907;1.162191;-0.4025295
66;0.1118541;1.162124;-0.4016053
67;0.1098454;1.161982;-0.4005976
68;0.1062036;1.162027;-0.3983774
69;0.1044349;1.162102;-0.3973266
70;0.1014189;1.161946;-0.3952037
71;0.1001994;1.161885;-0.3940661
72;0.09777167;1.161947;-0.3916577
73;0.09674775;1.162217;-0.3903169
74;0.09504922;1.163151;-0.3878437
75;0.09425469;1.163714;-0.3863773
76;0.09365174;1.164069;-0.3848255
77;0.09233403;1.164566;-0.3816231
78;0.09186757;1.164876;-0.3801648
79;0.09112868;1.165815;-0.3770347
80;0.09088957;1.165937;-0.3752841
81;0.08995102;1.165478;-0.3715706
82;0.08956883;1.165367;-0.3699513
83;0.08917792;1.165537;-0.3684166
84;0.08894075;1.165603;-0.365811
85;0.08874396;1.165608;-0.3643778
86;0.08814865;1.16589;-0.3613753
87;0.08799938;1.165781;-0.3602351
88;0.08735278;1.165905;-0.3576159
89;0.08722933;1.166012;-0.3564762
90;0.08694011;1.166278;-0.3542418
91;0.08691502;1.166197;-0.353092
92;0.08695827;1.166358;-0.3519037
93;0.08711262;1.167296;-0.3498721
94;0.087356;1.167782;-0.3489892
95;0.08745851;1.168717;-0.3471859
96;0.08760266;1.169068;-0.3463911
97;0.08810017;1.169952;-0.3448344
98;0.08824857;1.170561;-0.344143
99;0.08824202;1.171075;-0.3437045
100;0.08874251;1.172049;-0.3424721
101;0.08894799;1.172603;-0.3420852
102;0.08929431;1.173058;-0.3415509
103;0.08971155;1.174087;-0.3408404
104;0.08993063;1.174396;-0.3404703
105;0.09014374;1.174331;-0.3400983
106;0.0903973;1.174495;-0.3397641
107;0.0916492;1.175018;-0.3393693
108;0.09199067;1.175403;-0.3391968
109;0.09314373;1.175846;-0.3387675
110;0.09321897;1.175681;-0.3386423
111;0.09296916;1.175694;-0.3387907
112;0.09336013;1.175824;-0.3386817
113;0.09359892;1.176042;-0.3387284
114;0.09374125;1.176025;-0.3387592
115;0.0938637;1.176057;-0.3387076
116;0.09379371;1.175841;-0.3386084
117;0.09367704;1.175682;-0.3386076
118;0.0934054;1.17557;-0.338569
119;0.09338758;1.175585;-0.338493
120;0.09284963;1.175364;-0.3383362
121;0.09224179;1.17501;-0.3382605
122;0.09128439;1.174937;-0.3381286
123;0.09064768;1.174914;-0.3380282
124;0.08991317;1.174736;-0.3380423
125;0.08817974;1.174622;-0.3382942
126;0.08741747;1.174586;-0.3385782
127;0.0861559;1.174315;-0.3396043
128;0.0849704;1.17419;-0.3400125
129;0.08272002;1.173842;-0.3408872
130;0.08164431;1.173557;-0.3414287
131;0.0805411;1.173443;-0.3419603
132;0.07820425;1.173087;-0.3431582
133;0.07677701;1.172958;-0.3438171
134;0.07402282;1.172711;-0.3454475
135;0.07276448;1.172804;-0.3466161
136;0.07004412;1.172934;-0.3487745
137;0.06860013;1.172763;-0.3497949
138;0.06542473;1.172364;-0.3520508
139;0.06388247;1.172134;-0.353202
140;0.06217068;1.172059;-0.3544645
141;0.05882929;1.172005;-0.3570566
142;0.05709343;1.171826;-0.3584395
143;0.0531096;1.171732;-0.3615161
144;0.05112054;1.171597;-0.3631524
145;0.04707561;1.171634;-0.3664439
146;0.04508821;1.171646;-0.3681114
147;0.04297533;1.171692;-0.3700277
148;0.03875329;1.17146;-0.3737539
149;0.03651927;1.171454;-0.3755238
150;0.03207157;1.171549;-0.3793641
151;0.02975788;1.171476;-0.381469
152;0.02486146;1.170679;-0.3852127
153;0.02247499;1.17059;-0.3871419
154;0.02025424;1.170692;-0.3891682
155;0.01540796;1.171531;-0.3942176
156;0.01290864;1.171851;-0.3965495
157;0.007934287;1.172503;-0.4004947
158;0.005574508;1.172637;-0.4025898
159;0.0003652875;1.173051;-0.4071947
160;-0.002114634;1.173365;-0.4094529
161;-0.004376387;1.173741;-0.4115789
162;-0.00884389;1.174565;-0.4158603
163;-0.01101771;1.174805;-0.4177377
164;-0.0159581;1.175229;-0.421677
165;-0.01848625;1.175118;-0.4236099
166;-0.02267112;1.176114;-0.4276109
167;-0.0244894;1.176715;-0.4295464
168;-0.02821752;1.177821;-0.4332627
169;-0.03014445;1.178289;-0.4352545
170;-0.03179137;1.178817;-0.4373565
171;-0.03443267;1.179514;-0.4412765
172;-0.03540025;1.179504;-0.4432018
173;-0.03721819;1.179671;-0.4470719
174;-0.0379803;1.179689;-0.4490898
175;-0.03958903;1.179295;-0.4527055
176;-0.04045795;1.179374;-0.4544128
177;-0.04148047;1.17904;-0.4578617
178;-0.0422076;1.178853;-0.459421
179;-0.04322657;1.17857;-0.4608778
180;-0.04521808;1.177942;-0.4638359
181;-0.04591765;1.178018;-0.4653182
182;-0.0465479;1.178172;-0.4681326
183;-0.04680249;1.178088;-0.4692852
184;-0.04770854;1.177945;-0.4712716
185;-0.0482199;1.17805;-0.4722534
186;-0.04851931;1.177952;-0.4731549
187;-0.04951477;1.177717;-0.4748036
188;-0.04992837;1.177879;-0.4756243
189;-0.05029272;1.178415;-0.4769287
190;-0.05041331;1.178108;-0.4773948
191;-0.05055741;1.177636;-0.4780864
192;-0.05053256;1.177487;-0.4784701
193;-0.05051846;1.176985;-0.4786204
194;-0.05079851;1.177256;-0.4785325
195;-0.0508504;1.177097;-0.4789565
196;-0.05055986;1.177078;-0.4786836
197;-0.05063392;1.177193;-0.4784039
198;-0.05077434;1.177805;-0.4779384
199;-0.05080486;1.178167;-0.4778745
200;-0.0505472;1.178171;-0.4772941
201;-0.05050005;1.178163;-0.4770917
202;-0.05042843;1.178238;-0.4769273
203;-0.05073226;1.178461;-0.4767118
204;-0.05099062;1.178495;-0.4767189
205;-0.05139416;1.177674;-0.4769214
206;-0.05219116;1.176505;-0.4774044
207;-0.05300562;1.175504;-0.4777078
208;-0.05351394;1.175161;-0.4777883
209;-0.0541873;1.17483;-0.4777654
210;-0.05515823;1.17454;-0.4781649
211;-0.05553124;1.174742;-0.4784535
212;-0.05591489;1.175219;-0.4787922
213;-0.05633181;1.17533;-0.4789302
214;-0.05731038;1.174923;-0.4796714
215;-0.05784313;1.175148;-0.4800761
216;-0.05855441;1.17522;-0.4806942
217;-0.05883538;1.174968;-0.4808955
218;-0.05927182;1.174744;-0.4810214
219;-0.05995687;1.174905;-0.4816036
220;-0.06009764;1.174646;-0.4819194
221;-0.06124676;1.173974;-0.4823546
222;-0.06186673;1.174013;-0.4825613
223;-0.06265228;1.173697;-0.4831826
224;-0.06330775;1.173251;-0.4832782
225;-0.06445877;1.17318;-0.4831722
226;-0.06637359;1.173069;-0.4829656
227;-0.06719679;1.173058;-0.4827718
228;-0.06888124;1.172698;-0.4822617
229;-0.06992172;1.172786;-0.4818528
230;-0.0719022;1.173077;-0.4809214
231;-0.07277536;1.173298;-0.4803476
232;-0.07355385;1.173182;-0.4798658
233;-0.07512884;1.173123;-0.4788736
234;-0.07566939;1.173201;-0.4782961
235;-0.0769829;1.17342;-0.4772348
236;-0.07760396;1.173514;-0.4765472
237;-0.07898643;1.173723;-0.4752035
238;-0.07956409;1.173805;-0.4745247
